STRUCTURE	ENERGY
289	-.16560083E+03
290	-.16556089E+03
291	-.16556656E+03
292	-.16550205E+03
293	-.16541704E+03
294	-.16541657E+03
295	-.16534989E+03
296	-.16540704E+03
297	-.16537190E+03
298	-.16539003E+03
299	-.16541740E+03
300	-.16536443E+03
301	-.16533720E+03
302	-.16535459E+03
303	-.16538588E+03
304	-.16535835E+03
305	-.16540080E+03
306	-.16536718E+03
307	-.16542862E+03
308	-.16543052E+03
309	-.16530252E+03
310	-.16537313E+03
311	-.16538034E+03
312	-.16538633E+03
313	-.16540008E+03
314	-.16539848E+03
315	-.16544691E+03
316	-.16519648E+03
317	-.16538113E+03
318	-.16519143E+03
319	-.16533711E+03
320	-.16537904E+03
321	-.16544397E+03
322	-.16537188E+03
323	-.16540465E+03
324	-.16543071E+03
325	-.16538941E+03
326	-.16540700E+03
327	-.16542984E+03
328	-.16528399E+03
329	-.16533943E+03
330	-.16523379E+03
331	-.16524487E+03
332	-.16527774E+03
333	-.16533815E+03
334	-.16545147E+03
335	-.16547010E+03
336	-.16547758E+03
337	-.16546304E+03
